Data Name;Organism;Tissues;cell_type;Conditions;Repository;URL;RNA,ATAC,CHIP;Type of data;Level of Processing;Type of Technologie; Observations;RefLink; LabguruLink
GSE157698.rds;Mouse;Liver;Hepatocytes, BilliaryCells, Reprogrammed Hepatocytes; DDC treatment + YFP-Sorting or not; GSE157698, Hepatology Merell et al. 2021;<a href =https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157698>GSE157698</a>;RNA;matrix H5; Processed; 10X; NA ; <a href=https://aasldpubs.onlinelibrary.wiley.com/doi/abs/10.1002/hep.31704> doi: 10.1002/hep.31704</a>;<a href=https://cle.inserm.fr/knowledge/experiments/4755>https://cle.inserm.fr/knowledge/experiments/4755</a>
GSE135296_Sham.rds;Mouse; Heart; Myofibroblast, macrophages, fibroblast;Sham and Mi control and Lats CKO; GSE135296;<a href=https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135296>GSE135296</a>; scRNAseq; metadata, raw data, scale data;Processed; Drop-seq;Interested in what they call CF and MLF;<a href=http://genesdev.cshlp.org/content/33/21-22/1491.full> doi: 10.1101/gad.329763.119</a>; <a href=https://cle.inserm.fr/knowledge/experiments/4957>https://cle.inserm.fr/knowledge/experiments/4957</a>
GSE151309.rds; Mouse; Liver; Hepatocytes ; Postnatal, adult control of post PHx different times; GSE151309 ; <a href=https://www-ncbi-nlm-nih-gov.ezproxy.u-pec.fr/geo/query/acc.cgi?acc=GSE151309>GSE151309</a>; scRNA seq; MTX, tsv ; Processed; 10X; NA ;<a href = https://genome.cshlp.org/content/early/2021/03/01/gr.267013.120> doi: 10.1101/gr.267013.120</a>; <a href=https://cle.inserm.fr/knowledge/experiments/4999>https://cle.inserm.fr/knowledge/experiments/4999</a>
GSE158866.rds; Mouse ; Liver; Hepatocytes; PHx 0hr (control) and PHx 48hrs; GSE158866; <a href= https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158866>GSE158866</a>; scRNAseq; MTX or tsv; Processed; 10X; NA ; <a href = https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7710279/ >doi: 10.1172/jci.insight.141024</a> ; <a href=https://cle.inserm.fr/knowledge/experiments/5061>https://cle.inserm.fr/knowledge/experiments/5061</a>
GSE165277.rds; Mouse ; Liver ; All cell types ; Hnf4a administration + control ; GSE165277 ; <a href=https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165277>GSE165277</a> ; scRNAseq; csv ; Processed ; 10X ; NA; <a href = https://www.journal-of-hepatology.eu/action/showPdf?pii=S0168-8278%2821%2902006-7> doi: 10.1016/j.jhep.2021.08.011</a> ; <a href=https://cle.inserm.fr/knowledge/experiments/5063>https://cle.inserm.fr/knowledge/experiments/5063</a>
GSE136679.rds; Mouse ; Liver ; Hepatocytes ; Untreated, Hepatectomy, APAP ; GSE136679 ; <a href=https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi>GSE136679</a> ; scRNAseq; TXT ; Processed ; 10X ; NA; <a href = https://www.nature.com/articles/s41467-020-19558-3> doi.org/10.1038/s41467-020-19558-3</a> ; <a href=https://cle.inserm.fr/knowledge/experiments/5067>https://cle.inserm.fr/knowledge/experiments/5067</a>
GSE90047.rds; Mouse ; Liver ; Hepatocytes, hepatoblast ; FACs DLK + Epcam+ cells ; GSE90047 ; <a href=https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90047>GSE90047</a> ; scRNAseq; TXT ; Processed ; Illumina HiSeq 2500 ; NA; <a href = https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5650503/> doi: 10.1002/hep.29353</a> ; <a href=https://cle.inserm.fr/knowledge/experiments/5069>https://cle.inserm.fr/knowledge/experiments/5069</a>
GSE148339.rds; Mouse ; Liver ; Multiple cell types ; TCDD treatment + control ; GSE148339 ; <a href=https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148339>GSE148339</a> ; single-nuclei; RDS ; Processed ; 10X ; NA; <a href = https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7674514/> doi: 10.1016/j.jcmgh.2020.07.012</a> ; <a href=https://cle.inserm.fr/knowledge/experiments/5151>https://cle.inserm.fr/knowledge/experiments/5151</a>
GSE136103.rds; Human ; Liver ; Multiple cell types ; NAFLD(n=1) + ALD(n=2) + healthy(n=4) ;GSE136103 ; <a href =https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136103>GSE136103</a> ; scRNA ;MTX+csv; Processed ; Illumina Hiseq 4000; Only take CD45- for reprocessing; <a href = https://www-nature-com.proxy.insermbiblio.inist.fr/articles/s41586-019-1631-3 > doi: 10.1038/s41586-019-1631-3</a>; <a href = https://cle.inserm.fr/knowledge/experiments/5189>https://cle.inserm.fr/knowledge/experiments/5189</a>
GSE157698_focus_Hep_HepRep_yfp_w6.rds;Mouse;Liver;Hepatocytes, Reporgrammed  Hepatocytes;DDC treatment ;GSE157698;<a href =https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157698>GSE157698</a>;ScRNA;H5;Processed;10X;Take only week 6 for Hepatocytes and only the YFP samples to exclude Cholangiocytes; <a href=https://aasldpubs.onlinelibrary.wiley.com/doi/abs/10.1002/hep.31704> doi: 10.1002/hep.31704</a>;<a href= https://cle.inserm.fr/knowledge/experiments/5959>https://cle.inserm.fr/knowledge/experiments/5959</a>
GSE171993.rds;Mouse;Liver;Multiple cell types;Post natal liver (D1, D3, D7, D21, D56);GSE171993;<a href =https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171993>GSE171993</a>;ScRNA;h5;Processed;Illumina HiSeq 4000;NA;<a href = https://www.cell.com/developmental-cell/fulltext/S1534-5807(22)00004-1?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1534580722000041%3Fshowall%3Dtrue>DOI: 10.1016/j.devcel.2022.01.004 </a>;NA
GSE171993_hep_bec.rds;Mouse;Liver;Hepatocytes and cholangiocytes;Post natal liver (D1, D3, D7, D21, D56);GSE171993;<a href =https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171993>GSE171993</a>;ScRNA;h5;Processed;Illumina HiSeq 4000;NA;<a href = https://www.cell.com/developmental-cell/fulltext/S1534-5807(22)00004-1?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS1534580722000041%3Fshowall%3Dtrue>DOI: 10.1016/j.devcel.2022.01.004 </a>;NA
Integration_1.0 .rds;Mouse;Liver;Hepatocytes and cholangiocytes;Many conditions;NA;NA;ScRNA;Several types;Processed;NA;NA;NA;<a href = https://cle.inserm.fr/knowledge/projects/355> https://cle.inserm.fr/knowledge/projects/355 </a>
RepHep_chol_focus_GSE157698;Mouse;Liver;Cholangiocytes and Reprogrammed Hepatocytes; DDC treatment + YFP-Sorting or not;GSE157698;<a href =https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157698>GSE157698</a>;ScRNA;H5;Processed;10X;Subset to keep only Reprogrammed hepatocytes and cholangiocytes; <a href=https://aasldpubs.onlinelibrary.wiley.com/doi/abs/10.1002/hep.31704> doi: 10.1002/hep.31704</a>;<a href= https://cle.inserm.fr/knowledge/experiments/5959>https://cle.inserm.fr/knowledge/experiments/5759</a>
ScNuclei_GSE192742_Human_liver_atlas_healthy.rds;Human;Liver;Multiple cell types;Atlas Healthy condition;GSE192742;<a href =https://www.livercellatlas.org/download.php>All liver cells</a>;ScRNA;H5;Processed;Illumina HiSeq 4000;Subset to keep only ScNuclei and cell types that are labelled in at least 50 cells ;<a href = https://www.cell.com/immunity/fulltext/S1074-7613(20)30357-5> DOI:https://doi.org/10.1016/j.immuni.2020.08.004 </a>;NA
ScNuclei_GSE192742_Mouse_NAFLD_atlas.rds;Mouse;Liver;Multiple cell types ;Atlas NAFLD condition;GSE192742;<a href =https://www.livercellatlas.org/download.php>Mouse NAFLD</a>;ScRNA;H5;Processed;Illumina HiSeq 4000;Subset to keep only Reprogrammed hepatocytes and cholangiocytes;<a href = https://www.cell.com/immunity/fulltext/S1074-7613(20)30357-5> DOI:https://doi.org/10.1016/j.immuni.2020.08.004 </a>;NA
ScNuclei_GSE192742_Mouse_liver_healthy.rds;Mouse;Liver;Multiple cell types;Atlas Healthy condition;GSE192742;<a href =https://www.livercellatlas.org/download.php>Mouse StSt</a>;ScRNA;H5;Processed;Illumina HiSeq 4000;Subset to keep only Reprogrammed hepatocytes and cholangiocytes;<a href = https://www.cell.com/immunity/fulltext/S1074-7613(20)30357-5> DOI:https://doi.org/10.1016/j.immuni.2020.08.004 </a>;NA
